,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration,Spot Price
107,SPXW230714C04400000,2023-07-10 1:45PM EDT,4400.0,29.7,29.5,29.7,-0.8,-2.62%,1469,3110,12.99%,0.015873015873015872,4398.950195
108,SPXW230714C04405000,2023-07-10 1:35PM EDT,4405.0,26.5,26.5,26.8,-1.6,-5.69%,456,321,12.84%,0.015873015873015872,4398.950195
109,SPXW230714C04410000,2023-07-10 1:44PM EDT,4410.0,23.8,23.7,23.9,-1.2,-4.80%,1118,441,12.61%,0.015873015873015872,4398.950195
110,SPXW230714C04415000,2023-07-10 1:30PM EDT,4415.0,21.7,21.7,21.9,-1.05,-4.62%,260,1087,12.75%,0.015873015873015872,4398.950195
111,SPXW230714C04420000,2023-07-10 1:41PM EDT,4420.0,18.72,19.0,19.2,-1.64,-8.06%,496,747,12.47%,0.015873015873015872,4398.950195
112,SPXW230714C04425000,2023-07-10 1:41PM EDT,4425.0,16.62,17.0,17.2,-1.78,-9.67%,928,3496,12.45%,0.015873015873015872,4398.950195
113,SPXW230714C04430000,2023-07-10 1:36PM EDT,4430.0,14.1,14.7,14.9,-1.89,-11.82%,357,1059,12.21%,0.015873015873015872,4398.950195
114,SPXW230714C04435000,2023-07-10 1:18PM EDT,4435.0,13.01,13.0,13.2,-1.36,-9.46%,413,2015,12.19%,0.015873015873015872,4398.950195
115,SPXW230714C04440000,2023-07-10 1:32PM EDT,4440.0,11.51,11.6,11.8,-0.84,-6.80%,410,2050,12.26%,0.015873015873015872,4398.950195
116,SPXW230714C04445000,2023-07-10 1:36PM EDT,4445.0,9.67,10.0,10.1,-1.17,-10.79%,273,1111,12.08%,0.015873015873015872,4398.950195
117,SPXW230714C04450000,2023-07-10 1:42PM EDT,4450.0,8.7,8.5,8.7,-0.61,-6.55%,2191,4019,11.99%,0.015873015873015872,4398.950195
118,SPXW230714C04455000,2023-07-10 1:23PM EDT,4455.0,7.29,7.3,7.5,-0.81,-10.00%,508,1102,11.93%,0.015873015873015872,4398.950195
119,SPXW230714C04460000,2023-07-10 1:45PM EDT,4460.0,6.52,6.4,6.6,-0.48,-6.86%,979,1675,12.00%,0.015873015873015872,4398.950195
120,SPXW230714C04465000,2023-07-10 1:36PM EDT,4465.0,5.18,5.4,5.6,-0.72,-12.20%,449,945,11.93%,0.015873015873015872,4398.950195
121,SPXW230714C04470000,2023-07-10 1:43PM EDT,4470.0,4.7,4.6,4.8,-0.2,-4.08%,627,1193,11.92%,0.015873015873015872,4398.950195
