,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Expiration
2,SPXW230714C02800000,2023-06-26 12:37PM EDT,2800.0,1544.75,1602.1,1608.6,0.0,-,30,5,161.93%,0.023809523809523808
3,SPXW230714C02900000,2023-06-14 2:31PM EDT,2900.0,1454.6,1502.2,1508.7,0.0,-,-,15,151.19%,0.023809523809523808
4,SPXW230714C03000000,2023-06-09 9:38AM EDT,3000.0,1314.73,1402.3,1408.8,0.0,-,-,1,140.74%,0.023809523809523808
5,SPXW230714C03200000,2023-06-01 9:30AM EDT,3200.0,1001.88,1244.7,1252.0,0.0,-,-,1,185.25%,0.023809523809523808
6,SPXW230714C03350000,2023-06-28 10:04AM EDT,3350.0,1020.04,1052.4,1059.0,0.0,-,-,2,105.40%,0.023809523809523808
7,SPXW230714C03400000,2023-07-07 12:40PM EDT,3400.0,1036.24,1002.5,1009.1,66.03,+6.81%,5,27,100.76%,0.023809523809523808
8,SPXW230714C03450000,2023-06-30 12:46PM EDT,3450.0,1001.65,952.9,959.4,0.0,-,10,10,96.77%,0.023809523809523808
9,SPXW230714C03650000,2023-07-06 12:17PM EDT,3650.0,753.19,753.2,759.7,0.0,-,1,2,78.22%,0.023809523809523808
10,SPXW230714C03700000,2023-07-07 1:40PM EDT,3700.0,739.93,703.5,710.0,134.48,+22.21%,1,1,74.05%,0.023809523809523808
11,SPXW230714C03750000,2023-06-29 2:32PM EDT,3750.0,643.94,653.0,659.6,0.0,-,1,7,68.50%,0.023809523809523808
12,SPXW230714C03760000,2023-07-07 1:01PM EDT,3760.0,681.66,643.1,649.6,47.65,+7.52%,18,2,67.65%,0.023809523809523808
13,SPXW230714C03770000,2023-06-27 3:45PM EDT,3770.0,620.95,633.6,640.1,0.0,-,-,1,67.59%,0.023809523809523808
14,SPXW230714C03840000,2023-06-09 11:45AM EDT,3840.0,482.23,563.5,570.0,0.0,-,-,103,60.82%,0.023809523809523808
15,SPXW230714C03850000,2023-06-27 9:36AM EDT,3850.0,504.92,553.5,560.0,0.0,-,10,113,59.89%,0.023809523809523808
16,SPXW230714C03875000,2023-06-01 4:01PM EDT,3875.0,378.6,571.7,578.9,0.0,-,-,25,97.05%,0.023809523809523808
17,SPXW230714C03880000,2023-05-26 10:45AM EDT,3880.0,361.56,476.6,479.5,0.0,-,2,1,0.00%,0.023809523809523808
18,SPXW230714C03890000,2023-06-09 11:04AM EDT,3890.0,444.79,512.9,519.4,0.0,-,1,0,55.19%,0.023809523809523808
19,SPXW230714C03900000,2023-07-07 4:14PM EDT,3900.0,507.96,503.8,510.3,-9.05,-1.75%,3,10,55.63%,0.023809523809523808
20,SPXW230714C03910000,2023-06-30 3:54PM EDT,3910.0,551.32,493.6,500.1,0.0,-,1,1,54.39%,0.023809523809523808
21,SPXW230714C03920000,2023-05-26 12:19PM EDT,3920.0,325.69,437.0,439.9,0.0,-,2,1,0.00%,0.023809523809523808
22,SPXW230714C03925000,2023-07-05 12:52PM EDT,3925.0,524.92,478.3,484.9,0.0,-,10,10,52.62%,0.023809523809523808
23,SPXW230714C03940000,2023-05-26 3:24PM EDT,3940.0,318.9,0.0,0.0,0.0,-,72,0,0.00%,0.023809523809523808
24,SPXW230714C03950000,2023-07-03 10:11AM EDT,3950.0,507.41,453.4,459.9,0.0,-,2,12,50.34%,0.023809523809523808
25,SPXW230714C03960000,2023-06-27 10:26AM EDT,3960.0,395.22,443.9,450.4,0.0,-,1,2,50.10%,0.023809523809523808
26,SPXW230714C03975000,2023-06-08 3:41PM EDT,3975.0,343.35,428.7,435.2,0.0,-,4,7,52.44%,0.023809523809523808
27,SPXW230714C03980000,2023-06-07 9:53AM EDT,3980.0,343.78,435.4,439.4,0.0,-,1,326,59.21%,0.023809523809523808
28,SPXW230714C04000000,2023-07-05 3:12PM EDT,4000.0,456.37,403.5,410.0,0.0,-,8,6875,49.72%,0.023809523809523808
29,SPXW230714C04010000,2023-06-30 10:23AM EDT,4010.0,441.59,394.0,400.5,0.0,-,20,24,49.27%,0.023809523809523808
30,SPXW230714C04020000,2023-06-27 10:50AM EDT,4020.0,339.45,384.0,390.5,0.0,-,2,1,48.26%,0.023809523809523808
31,SPXW230714C04025000,2023-06-07 11:25AM EDT,4025.0,283.7,378.8,385.3,0.0,-,2,2,47.54%,0.023809523809523808
32,SPXW230714C04030000,2023-06-27 10:50AM EDT,4030.0,329.55,374.0,380.6,0.0,-,2,0,47.36%,0.023809523809523808
33,SPXW230714C04040000,2023-06-30 3:54PM EDT,4040.0,421.89,363.5,370.1,0.0,-,1,2,45.82%,0.023809523809523808
34,SPXW230714C04050000,2023-07-07 9:35AM EDT,4050.0,362.5,353.6,360.1,-13.84,-3.68%,4,43,44.82%,0.023809523809523808
35,SPXW230714C04060000,2023-06-27 2:28PM EDT,4060.0,331.82,344.1,350.6,0.0,-,-,1,44.32%,0.023809523809523808
36,SPXW230714C04070000,2023-06-23 11:18AM EDT,4070.0,293.02,334.1,340.7,0.0,-,1,7,43.40%,0.023809523809523808
37,SPXW230714C04075000,2023-06-28 10:29AM EDT,4075.0,306.59,328.6,335.2,0.0,-,1,6,42.39%,0.023809523809523808
38,SPXW230714C04080000,2023-07-05 3:13PM EDT,4080.0,377.42,326.5,327.9,0.0,-,1,0,39.49%,0.023809523809523808
39,SPXW230714C04090000,2023-06-26 12:25PM EDT,4090.0,264.94,316.2,318.3,0.0,-,1,252,38.94%,0.023809523809523808
40,SPXW230714C04100000,2023-07-07 3:34PM EDT,4100.0,323.0,306.5,308.0,-31.6,-8.91%,8,124,37.63%,0.023809523809523808
41,SPXW230714C04105000,2023-06-30 10:02AM EDT,4105.0,343.92,301.3,303.3,0.0,-,1,6,37.45%,0.023809523809523808
42,SPXW230714C04110000,2023-06-23 2:47PM EDT,4110.0,252.94,296.3,298.3,0.0,-,2,12,36.96%,0.023809523809523808
43,SPXW230714C04115000,2023-06-30 2:44PM EDT,4115.0,348.14,291.3,293.3,0.0,-,6,7,36.46%,0.023809523809523808
44,SPXW230714C04120000,2023-06-28 9:36AM EDT,4120.0,255.9,286.3,288.4,0.0,-,1,29,36.07%,0.023809523809523808
45,SPXW230714C04125000,2023-07-05 3:45PM EDT,4125.0,332.85,281.3,283.4,0.0,-,1,25,35.57%,0.023809523809523808
46,SPXW230714C04130000,2023-06-29 11:07AM EDT,4130.0,265.46,276.4,278.4,0.0,-,2,49,35.07%,0.023809523809523808
47,SPXW230714C04135000,2023-07-06 3:17PM EDT,4135.0,282.2,271.4,273.4,0.0,-,20,30,34.57%,0.023809523809523808
48,SPXW230714C04140000,2023-06-09 9:30AM EDT,4140.0,303.0,266.4,268.4,105.79,+53.64%,3,88,34.07%,0.023809523809523808
49,SPXW230714C04145000,2023-06-20 9:44AM EDT,4145.0,268.15,261.4,263.5,0.0,-,1,2,33.66%,0.023809523809523808
50,SPXW230714C04150000,2023-07-07 3:31PM EDT,4150.0,272.0,256.7,258.1,7.03,+2.65%,26,180,32.78%,0.023809523809523808
51,SPXW230714C04160000,2023-07-07 12:58PM EDT,4160.0,280.46,246.8,248.2,-18.53,-6.20%,83,104,31.87%,0.023809523809523808
52,SPXW230714C04165000,2023-06-30 2:44PM EDT,4165.0,298.56,241.5,243.6,0.0,-,6,6,31.73%,0.023809523809523808
53,SPXW230714C04170000,2023-07-07 1:04PM EDT,4170.0,272.62,236.8,238.2,-5.08,-1.83%,141,175,30.86%,0.023809523809523808
54,SPXW230714C04175000,2023-07-03 9:30AM EDT,4175.0,275.07,231.6,233.6,0.0,-,1,417,30.72%,0.023809523809523808
